Gender,Age,Seniority level,Years of experience,Your main technology / programming language,Yearly brutto salary (without bonus and stocks),numbers
Male,41.0,Senior,20,Solidity,140000.0,[365]
Male,35.0,Principal,15,Google Cloud,120000.0,[382]
Male,32.0,Senior,14,Google Cloud,92000.0,[322]
Male,47.0,Middle,22,Google Cloud,100000.0,[98]
Male,33.0,Senior,10,Google Cloud,80000.0,[230]
Male,30.0,Senior,15,Google Cloud,117000.0,[17]
Male,34.0,Senior,14,Rust,86000.0,[83]
Male,25.0,Senior,8,Rust,110000.0,[106]
Male,27.0,Senior,8,Rust,82000.0,[123]
